time,symbol,open,high,low,close,volume
2026-03-26T19:11:00Z,NVDA,171.755,171.8,171.575,171.62,12537
2026-03-26T19:11:00Z,SPY,646.04,646.15,645.96,646.025,3151
2026-03-26T19:12:00Z,AMD,204.33,204.39,204.16,204.17,2014
2026-03-26T19:12:00Z,NVDA,171.61,171.845,171.61,171.845,26281
2026-03-26T19:12:00Z,SPY,645.99,646.15,645.93,646.0,852
2026-03-26T19:13:00Z,AMD,204.09,204.15,203.97,204.07,3084
2026-03-26T19:13:00Z,NVDA,171.82,171.84,171.78,171.805,8352
2026-03-26T19:13:00Z,SPY,645.95,645.99,645.905,645.975,1492
2026-03-26T19:14:00Z,AMD,204.12,204.405,204.12,204.4,2080
2026-03-26T19:14:00Z,NVDA,171.83,172.0,171.83,171.96,25094
2026-03-26T19:14:00Z,SPY,645.965,646.23,645.965,646.22,896
2026-03-26T19:15:00Z,AMD,204.47,204.83,204.47,204.83,2649
2026-03-26T19:15:00Z,NVDA,171.985,172.24,171.985,172.24,17282
2026-03-26T19:15:00Z,SPY,646.26,646.57,646.26,646.55,5934
2026-03-26T19:16:00Z,AMD,204.84,205.01,204.84,204.99,2393
2026-03-26T19:16:00Z,NVDA,172.25,172.285,172.19,172.2,10839
2026-03-26T19:16:00Z,SPY,646.56,646.59,646.395,646.395,2395
2026-03-26T19:17:00Z,AMD,205.0,205.02,204.82,204.93,2480
2026-03-26T19:17:00Z,NVDA,172.17,172.3,172.08,172.3,8686
2026-03-26T19:17:00Z,SPY,646.45,646.67,646.45,646.6,1053
2026-03-26T19:18:00Z,AMD,204.95,204.95,204.86,204.88,1445
2026-03-26T19:18:00Z,NVDA,172.275,172.39,172.275,172.315,10265
2026-03-26T19:18:00Z,SPY,646.44,646.695,646.42,646.58,1573
2026-03-26T19:19:00Z,AMD,204.92,204.99,204.75,204.75,2026
2026-03-26T19:19:00Z,NVDA,172.29,172.355,172.265,172.28,11716
2026-03-26T19:19:00Z,SPY,646.61,646.63,646.53,646.53,535
2026-03-26T19:20:00Z,AMD,204.41,204.49,204.37,204.48,917
2026-03-26T19:20:00Z,NVDA,172.285,172.285,172.075,172.075,9237
2026-03-26T19:20:00Z,SPY,646.54,646.595,646.335,646.36,3185
2026-03-26T19:21:00Z,AMD,204.45,204.54,204.45,204.54,1291
2026-03-26T19:21:00Z,NVDA,172.09,172.185,172.03,172.185,10090
2026-03-26T19:21:00Z,SPY,646.415,646.415,646.265,646.33,1397
2026-03-26T19:22:00Z,AMD,204.475,204.54,204.43,204.51,1435
2026-03-26T19:22:00Z,NVDA,172.165,172.195,172.09,172.185,4358
2026-03-26T19:22:00Z,SPY,646.255,646.29,646.22,646.285,829
2026-03-26T19:23:00Z,AMD,204.6,204.63,204.45,204.46,1877
2026-03-26T19:23:00Z,NVDA,172.19,172.285,172.18,172.215,14323
2026-03-26T19:23:00Z,SPY,646.29,646.35,646.205,646.21,645
2026-03-26T19:24:00Z,AMD,204.43,204.46,204.425,204.43,1269
2026-03-26T19:24:00Z,NVDA,172.19,172.19,172.13,172.185,9932
2026-03-26T19:24:00Z,SPY,646.21,646.21,646.085,646.125,2995
2026-03-26T19:25:00Z,AMD,204.32,204.34,204.14,204.17,2122
2026-03-26T19:25:00Z,NVDA,172.16,172.24,172.075,172.08,22946
2026-03-26T19:25:00Z,SPY,646.095,646.18,645.87,645.9,5058
2026-03-26T19:26:00Z,AMD,204.19,204.28,204.19,204.27,2373
2026-03-26T19:26:00Z,NVDA,172.09,172.16,172.075,172.15,12674
2026-03-26T19:26:00Z,SPY,645.92,645.995,645.9,645.995,2011
2026-03-26T19:27:00Z,AMD,204.205,204.385,204.205,204.38,3359
2026-03-26T19:27:00Z,NVDA,172.14,172.21,172.11,172.145,9070
2026-03-26T19:27:00Z,SPY,646.025,646.06,645.95,645.995,633
2026-03-26T19:28:00Z,AMD,204.41,204.5,204.41,204.42,2999
2026-03-26T19:28:00Z,NVDA,172.17,172.18,172.05,172.05,7577
2026-03-26T19:28:00Z,SPY,646.045,646.07,645.91,645.93,2167
2026-03-26T19:29:00Z,AMD,204.465,204.53,204.415,204.42,2492
2026-03-26T19:29:00Z,NVDA,172.065,172.125,171.985,172.125,20868
2026-03-26T19:29:00Z,SPY,645.97,646.215,645.925,646.21,2853
2026-03-26T19:30:00Z,AMD,204.57,204.57,204.34,204.53,2984
2026-03-26T19:30:00Z,NVDA,172.135,172.15,171.95,171.96,9841
